Question,Options
静脉注射后全部药物进入全身循环，生物利用度等于,"A 0.5
B 0.2
C 1
D 0.3
E 0.8"
生物利用度除了可以表示进入全身循环药物量的多少外，还可以表示,"A 用药剂量
B 体内药物总量
C 半数有效剂量
D 生物利用度
E 药物进入全身循环的速度"
药物的生物利用度是指,"A 药物经胃肠道进入门脉的分量
B 药物能吸收进入体循环的分量
C 药物吸收后达到作用点的分量
D 药物吸收后进入体内的相对速度
E 药物吸收进入全身血液循环内药物的百分率"
易透过血脑屏障的药物具有特点为,"A 与血浆蛋白结合率高
B 分子量大
C 极性大
D 脂溶性高
E 脂溶性低"
胎盘绒毛与子宫血窦之间的屏障称为,"A 血脑屏障
B 一级消除动力学
C 二级消除动力学
D 零级消除动力学
E 胎盘屏障"
关于血脑屏障的说法，下列说法错误的是,"A 血脑屏障的构成为毛细血管内皮细胞，星形胶质细胞
B 血脑屏障能够阻碍许多大分子物质通过
C 血脑屏障能够阻碍解离型药物通过
D 水溶性的药物能够透过血脑屏障
E 脂溶性药物能够通过血脑屏障"
肺部支原体感染,"A 阿莫西林
B 红霉素
C 头孢曲松
D 林可霉素
E 万古霉素"
治疗军团菌所致肺炎的首选药物是,"A 庆大霉素
B 多西环素
C 红霉素
D 链霉素
E 妥布霉素"
可作为治疗金黄色葡萄球菌引起的骨髓炎的首选药物的是,"A 林可霉素
B 红霉素
C 青霉素
D 链霉素
E 四环素"
首选治疗立克次体感染的药物是,"A 林可霉素
B 红霉素
C 青霉素
D 链霉素
E 四环素"
主要用于厌氧菌感染，对金黄色葡萄球菌引起的骨髓炎为首选的药物是,"A 红霉素
B 青霉素
C 庆大霉素
D 多西环素
E 林可霉素"
系一类含有14、15和16元大环内酯环的具有抗菌作用的抗生素,"A 利福平
B 头孢类抗生素
C 氨基糖苷类抗生素
D 磺胺类抗生素
E 大环内酯类抗生素"
常用做需氧G+菌、G-球菌和厌氧球菌等感染的首选药，以及对β-内酰胺类抗生素过敏患者的替代品的抗生素是,"A 链霉素
B 红霉素
C 青霉素
D 四环素
E 庆大霉素"
对于林可霉素类抗生素的抗菌作用下列说法正确的是,"A 林可霉素的抗菌活性比克林霉素强4～8倍
B 对人型支原体无作用
C 对沙眼衣原体无抑制作用
D 对肠球菌、肺炎支原体敏感
E 对厌氧菌有强大抗菌作用"
能够治疗敏感的G+球菌和杆菌、G-球菌及螺旋体所致感染的首选药是,"A 林可霉素
B 红霉素
C 青霉素
D 链霉素
E 四环素"
氯丙嗪对下列哪种病因所致的呕吐无效,"A 顽固性呃逆
B 恶性肿瘤
C 尿毒症
D 吗啡
E 晕动症"
氯丙嗪引起的急性肌张力障碍是由于,"A 阻断肾上腺素α受体
B 阻断M胆碱受体
C 阻断中脑-边缘系统和中脑-皮层系统的D2样受体
D 阻断延脑第四脑室底部的催吐化学感受区的D2受体
E 阻断了黑质-纹状体通路的D2样受体"
米帕明（丙米嗪）抗抑郁症的机制是,"A 促进脑内NA和5-HT释放
B 抑制脑内NA和5-HT释放
C 促进脑内NA和5-HT再摄取
D 抑制脑内NA和5-HT再摄取
E 激活脑内D2受体"
碳酸锂主要用于,"A 抑郁症
B 躁狂症
C 晕动病
D 精神分裂症
E 重症肌无力"
氯丙嗪长期大剂量应用最严重的不良反应,"A 胃肠道反应
B 中枢抑制症状
C 锥体外系反应
D 精神异常
E 过敏反应"
以下哪项是氯丙嗪的禁忌证,"A 癫痫
B 焦虑症
C 低温麻醉
D 顽固性呃逆
E Ⅰ型精神分裂症"
关于氯丙嗪的应用，哪项是错误的,"A 人工冬眠疗法
B 精神分裂症
C 药物引起的呕吐
D 晕动病引起的呕吐
E 躁狂症"
氯丙嗪不会促使哪种激素的分泌,"A 催乳素
B 促卵泡激素
C 黄体生成素
D ACTH
E 生长激素"
氯丙嗪主要用于,"A 抑郁症
B 躁狂症
C 晕动病
D 精神分裂症
E 重症肌无力"
具有较强镇吐作用的是,"A 氯丙嗪
B 氟西汀
C 碳酸锂
D 吗啡
E 卡马西平"
氯丙嗪抗精神病的作用机制是阻断,"A 中枢α-肾上腺素能受体
B 中枢β-肾A腺素能受体
C 中脑-边缘系和中脑-皮质通路D2受体
D 黑质-纹状体通路中的5-HT1受体
E 结节-漏斗通路的D2受体"
氯丙嗪引起的低血压、休克抢救时禁用肾上腺素是因为氯丙嗪,"A 可阻断M受体
B 可阻断β受体
C 可阻断α受体
D 直接扩张血管平滑肌
E 有抑制血管运动中枢作用"
氯丙嗪神经安定作用的机制是,"A 阻断呕吐中枢
B 阻断结节－漏斗通路
C 阻断胃黏膜传入纤维
D 阻断黑质－纹状体通路
E 阻断中脑-边缘系统和中脑-皮层系统的D2样受体"
氯丙嗪可引起口干、便秘、视力模糊等是由于,"A 阻断肾上腺素α受体
B 阻断M胆碱受体
C 阻断多巴胺（DA）受体
D 阻断肾上腺素β受体
E 阻断N胆碱受体"
碳酸锂的治疗剂量对正常人的影响,"A 精神紊乱
B 反射亢进
C 明显震颤
D 发音困难
E 无明显影响"
氯丙嗪具有较强的镇吐作用，小剂量时镇吐作用机制是,"A 阻断呕吐中枢
B 阻断结节－漏斗通路
C 阻断胃黏膜传入纤维
D 阻断黑质－纹状体通路
E 阻断延脑催吐化学感受区的D2受体"
氯丙嗪的锥体外系反应不包括,"A 体位性低血压
B 迟发性运动障碍
C 肌肉震颤、流涎
D 急性肌张力障碍
E 静坐不能"
长期大量服用氯丙嗪出现帕金森综合征是由于,"A 阻断肾上腺素α受体
B 阻断M胆碱受体
C 阻断中脑-边缘系统和中脑-皮层系统的D2样受体
D 阻断延脑第四脑室底部的催吐化学感受区的D2受体
E 阻断了黑质-纹状体通路的D2样受体"
以下可用于治疗抑郁症的药物是,"A 氯丙嗪
B 奋乃静
C 氯氮平
D 丙米嗪
E 氟哌啶醇"
抑郁症患者连续服用丙米嗪后，出现较轻的,"A 安静
B 血压稍降
C 思睡
D 精神振奋
E 抑郁"
抗精神失常药是指,"A 治疗精神活动障碍的药物
B 治疗精神分裂症的药物
C 治疗焦虑症的药物
D 治疗躁狂症的药物
E 治疗抑郁症的药物"
氯丙嗪抗精神病的作用机制是由于,"A 阻断肾上腺素α受体
B 阻断M胆碱受体
C 阻断中脑-边缘系统和中脑-皮层系统的D2样受体
D 阻断延脑第四脑室底部的催吐化学感受区的D2受体
E 阻断了黑质-纹状体通路的D2样受体"
下列有关氯丙嗪对体温调节的作用的描述中，正确的是,"A 不仅降低发热体温，也降低正常体温
B 对下丘脑体温调节中枢有很强的抑制作用
C 环境温度愈低其降温作用愈显著
D 临床上配合物理降温用于低温麻醉
E 以上都是正确"
某女性患者，35岁。有甲状腺功能亢进病史，经内科治疗好转，今日因感冒出现心慌、胸闷、不安、睡眠差，心电图显示：窦性心动过速。据此该病人应选用的抗心律失常药为,"A 利多卡因
B 苯妥英钠
C 普萘洛尔
D 维拉帕米
E 普罗帕酮"
下列药物能够起到选择性延长复极的药物是,"A 胺碘酮
B 普萘洛尔
C 维拉帕米
D 地尔硫（艹卓）
E 利多卡因"
以下哪类药物属于Ⅱ类——β肾上腺素受体阻断药,"A 普鲁卡因胺
B 苯妥英
C 普罗帕酮
D 普萘洛尔
E 氟卡尼"
抑制多种钾电流，延长APD和ERP的药物是,"A 苯妥英钠
B 普鲁卡因胺
C 维拉帕米
D 胺碘酮
E 奎尼丁"
胺碘酮的作用是,"A 阻滞Na+通道
B 促K+外流
C 阻滞Ca2+通道
D 延长动作电位时程
E 阻滞β受体"
治疗窦性心动过速的药,"A 阿奇霉素
B 异烟肼
C 阿司匹林
D 环丙沙星
E 普萘洛尔"
抗心律失常药的I类——钠通道阻滞药又分为三个亚类，下列说法错误的是,"A Ia类有奎尼丁
B Ib类为轻度阻滞钠通道药物
C Ic类为适度阻滞钠通道
D Ib类有利多卡因
E Ic类有普罗帕酮"
以下哪项不属于抗心律失常药的分类,"A 钠通道阻滞药
B 钙拮抗药
C 选择性延长复极的药物
D 精神抑制剂
E β肾上腺素受体阻断药"
治疗阵发性室上性心动过速首选药物是,"A 奎尼丁
B 利多卡因
C 维拉帕米
D 胺碘酮
E 苯妥英钠"
下列关于普萘洛尔抗心律失常的描述，错误的是,"A 降低窦房结的自律性
B 治疗量延长浦氏纤维的APD和ERP
C 减慢房室传导
D 治疗量延长房室结的APD和ERP
E 阻断心脏的β受体"
硫脲类药物抑制甲状腺激素的合成的说法错误的是,"A 抑制甲状腺过氧化物酶
B 抑制酪氨酸的碘化
C 减少甲状腺激素的生物合成
D 抑制酪氨酸耦联
E 对已合成的甲状腺激素有效"
正常人每日释放的甲状腺激素中，甲状腺素占,"A 5～10μg
B 15～30μg
C 40～50μg
D 50～60μg
E 70～90μg"
不宜单独用作甲亢内科治疗的药物是,"A 碘化物
B 甲基硫氧嘧啶
C 丙基硫氧嘧啶
D 甲硫咪唑
E 卡比马唑"
硫脲类不良反应为,"A 过敏反应
B 甲状腺肿及甲状腺功能减退
C 消化道反应
D 粒细胞缺乏症
E 以上说法均正确"
下列关于硫脲类不良反应最恰当的一项是,"A 甲状腺肿及甲状腺功能减退
B 过敏反应
C 消化道反应
D 粒细胞缺乏症
E 以上均是"
硫脲类抗甲状腺药引起的严重不良反应是,"A 低蛋白血症
B 心动过速
C 黏液性水肿
D 再生障碍性贫血
E 粒细胞缺乏症"
乙琥胺,"A 可用于小儿感染所致呼吸衰竭
B 不能抑制癫痫病灶异常放电，可阻止其向正常脑组织扩散
C 临床主要用于失神性发作，为防治小发作的首选药
D 用于苯妥英钠不能耐受的癫痫大发作
E 苯巴比妥对大多数惊厥动物模型有效，缺乏选择性"
下列具有致畸胎作用的抗癫痫药物是,"A 苯妥英钠
B 苯巴比妥
C 卡马西平
D 苯二氮类
E 乙琥胺"
苯妥英钠,"A 可用于小儿感染所致呼吸衰竭
B 不能抑制癫痫病灶异常放电，可阻止其向正常脑组织扩散
C 临床主要用于失神性发作，为防治小发作的首选药
D 用于苯妥英钠不能耐受的癫痫大发作
E 苯巴比妥对大多数惊厥动物模型有效，缺乏选择性"
多巴胺舒张肾血管是由于,"A 激动β受体
B 阻断α受体
C 激动M胆碱受体
D 激动多巴胺受体
E 使组胺释放"
为了延长局麻药的局麻作用和减少不良反应，可加用,"A 肾上腺素
B 异丙肾上腺素
C 多巴胺
D 去甲肾上腺素
E 麻黄碱"
男性患者，45岁，半年前体检检查出肝硬化，夜晚突发消化道出血，下列哪种药物能够快速止血,"A 去甲肾上腺素
B 对乙酰氨基酚
C 阿司匹林
D 新斯的明
E 毛果芸香碱"
治疗严重房室传导阻滞宜选用,"A 肾上腺素
B 去甲肾上腺素
C 异丙肾上腺素
D 阿托品
E 氨茶碱"
常与去间羟胺合用作心室内注射治疗心脏骤停的药物是,"A 去甲肾上腺素
B 肾上腺素
C 多巴胺
D 异丙肾上腺素
E 乙酰胆碱"
与利尿药联合可以应用于急性肾衰的药物是,"A 去甲肾上腺素
B 肾上腺素
C 多巴胺
D 异丙肾上腺素
E 乙酰胆碱"
关于异丙肾上腺素的药理作用，说法错误的是,"A 对于心脏能够表现出正性肌力和正性频率作用
B 可以使骨骼肌血管舒张
C 可以舒张支气管平滑肌
D 能够增加糖原分解，增加组织耗氧量
E 中枢兴奋作用明显"
关于去甲肾上腺素不良反应及禁忌证的说法不正确的是,"A 可引起局部组织缺血坏死
B 高血压患者禁用
C 动脉硬化患者禁用
D 不良反应中无急性肾衰竭
E 孕妇禁用"
对于高度房室传导阻滞或窦房结功能衰竭而并发的心脏骤停，异丙肾上腺素常与哪种药物合用作心室内注射,"A 酚妥拉明
B 利多卡因
C 间羟胺
D 阿托品
E 乙酰胆碱"
仅能够用于支气管哮喘急性发作的肾上腺素受体激动剂为,"A 去甲肾上腺素
B 肾上腺素
C 多巴胺
D 异丙肾上腺素
E 酚妥拉明"
可通过促进房水流出以及眼内反应脱敏感化，降低眼压的药物是,"A 去甲肾上腺素
B 肾上腺素
C 多巴胺
D 异丙肾上腺素
E 乙酰胆碱"
去甲肾上腺素激动作用强大，针对的是下列哪种受体,"A β受体
B γ受体
C δ受体
D ε受体
E α受体"
去甲肾上腺素可使血管收缩，主要是激动以下哪种受体所致,"A α1
B α2
C β1
D β2
E α3"
男，18岁。因寒战，发热，咽痛来诊。经检查：体温39℃，双侧扁桃体肿大Ⅱ度，断为急性扁桃体炎，决定用青霉素。青霉素皮试（-）。但注射青霉素后，病人突感头晕，呕吐，全身湿冷，面色苍白，血压已测不到，此时该用何药抢救,"A 去甲肾上腺素
B 多巴胺
C 肾上腺素
D 间羟胺
E 山莨菪碱"
关于去甲肾上腺素激动的受体，下列说法正确的是,"A 去甲肾上腺素有强大的激动心脏β受体的作用
B 去甲肾上腺素能够选择性激动α受体
C 去甲肾上腺素能够对心脏β1受体作用较弱
D 去甲肾上腺素对心脏β2作用较强
E 去甲肾上腺素选择性激动α1受体"
静脉滴注时需要严格监控尿量在25ml/h以上的药物是,"A 去甲肾上腺素
B 肾上腺素
C 多巴胺
D 异丙肾上腺素
E 乙酰胆碱"
女，25岁。因心脏手术，麻醉药过量，病人出现呼吸、心跳停止，此时除进行人工呼吸及心脏按压术外，应采取哪项急救措施,"A 静注毛花苷丙
B 静滴去甲肾上腺素
C 阿托品心内注射
D 肾上腺素心内注射
E 异丙肾上腺素静注"
男，37岁。在心脏手术过程中，病人心电图表明：突然发生Ⅲ度房室传导阻滞。此时该用何药作紧急处置,"A 静注阿托品
B 静滴异丙肾上腺素
C 静注肾上腺素
D 静滴山莨菪碱
E 静滴去甲上肾腺素"
关于肾上腺素的药理作用的说法正确的是,"A 作用于心肌，降低心肌耗氧量
B 能够收缩血管，肾血管显著收缩
C 给药以后迅速出现明显血压下降
D 收缩支气管平滑肌
E 降低支气管耗氧量，可使耗氧量减低20%"
明显舒张肾血管，增加肾血流的药是,"A 肾上腺素
B 异丙肾上腺素
C 麻黄碱
D 多巴胺
E 去甲肾上腺素"
青霉素类引起的过敏性休克首选,"A 去甲肾上腺素
B 异丙肾上腺素
C 肾上腺素
D 多巴胺
E 麻黄碱"
男性患者，33岁，因不慎电击导致休克，急救时除了使用心脏除颤仪或配合利多卡因外，还急需哪种药物进行急救,"A 强心苷注射
B 酚妥拉明静脉滴注
C 肾上腺素心内注射
D 新斯的明肌肉注射
E 胰岛素肌肉注射"
对各种疟原虫的红细胞内期裂殖体均有较强的杀灭作用，但不能用于病因预防的药物是,"A 伯氨喹
B 青蒿素
C 乙胺嘧啶
D 甲硝唑
E 氯喹"
可引起巨幼红细胞性贫血的药物是,"A 氯喹
B 奎宁
C 伯氨喹
D 乙胺嘧啶
E 甲氟喹"
可用于治疗阿米巴肝脓肿的药是,"A 氯喹
B 奎宁
C 伯氨喹
D 乙胺嘧啶
E 甲氟喹"
可根治间日疟和控制疟疾的传播药是,"A 氯喹
B 奎宁
C 伯氨喹
D 乙胺嘧啶
E 甲氟喹"
关于抗疟药，下列叙述正确的是,"A 氯喹对阿米巴痢疾有效
B 氯喹可根治间日疟
C 青蒿素治疗疟疾最大缺点是有一定的复发率
D 伯氨喹可用作疟疾病因性预防
E 乙胺嘧啶能引起急性溶血贫血"
某疟疾病患者突然出现昏迷，给予二盐酸奎宁静滴抢救，抢救过程中，病人又出现寒战，高热，血红蛋白尿，应改用哪种药物继续抢救,"A 氯喹
B 甲氟喹
C 伯氨喹
D 乙胺嘧啶
E 青蒿素"
疗效高，生效快，控制疟疾临床发作首选,"A 氯喹
B 奎宁
C 伯氨喹
D 乙胺嘧啶
E 甲氟喹"
主要用于控制症状的抗疟药,"A 卡铂
B 氯喹
C 利福平
D 青霉素
E 红霉素"
进入疟区时，作为病因性预防的常规用药是,"A 伯氨喹
B 氯喹
C 乙胺嘧啶
D 周效磺胺
E 奎宁"
下列关于利福平的不良反应最恰当的选项是,"A 胃肠道反应
B 肝脏毒性
C 流感综合征
D 出现皮疹、药热
E 以上均对"
全身应用治疗结核病，局部用药治疗可治疗眼睛的感染性疾病的是,"A 利福平
B 异烟肼
C 妥布霉素
D 金霉素
E 氯霉素"
对繁殖期结核分枝杆菌有较强的抑制作用的药物是,"A 利福平
B 异烟肼
C 乙胺丁醇
D 青霉素
E 增效联磺片"
利福平可引起胃肠道反应除外的是,"A 恶心
B 呕吐
C 腹痛
D 腹泻
E 头痛"
各类型的结核病首选药是,"A 链霉素
B 利福平
C 异烟肼
D 乙胺丁醇
E 吡嗪酰胺"
下列不是异烟肼不良反应的是,"A 损伤肝细胞
B 各种皮疹
C 发热
D 胃肠道反应
E 中央神经炎"
对繁殖期结核分枝杆菌有较强的抑制作用，但是对其他细菌无效的药物是,"A 血小板
B 华法林
C 四环素
D 青霉素
E 乙胺丁醇"
长期大量使用利福平可出现,"A 恶心
B 呕吐
C 腹痛
D 腹泻
E 黄疸"
结核性腹膜炎患者，在抗结核治疗中出现失眠，神经错乱，可能由哪种药引起,"A 利福平
B PAS
C 乙胺丁醇
D 吡嗪酰胺
E 异烟肼"
临床用于各型肺结核和肺外结核。与异烟肼和利福平合用治疗初治患者，与利福平和卷曲霉素合用治疗复治患者的药物是,"A 乙胺丁醇
B 氨苄西林
C 奥美拉唑
D 西咪替丁
E 氟康唑"
异烟肼可引起的神经系统不良反应除外的是,"A 周围神经炎
B 手脚麻木
C 肌肉震颤
D 步态不稳
E 呕吐"
异烟肼的治疗方法，叙述错误的是,"A 早期轻症肺结核可单独使用
B 预防用药时可单独使用
C 规范化治疗时必须联合使用
D 粟粒性结核加大剂量
E 结核性脑膜炎减短疗程"
某糖尿病患者伴有浸润性肺结核，应用甲苯磺丁脲，利福平，链霉素，用抗结核药二月后，尿糖加重并出现肝功能不全原因是,"A 甲苯磺丁脲有肝毒性
B 患者又染上了肝炎
C 利福平诱导肝药酶且有肝损害
D 链霉素的肾毒性
E 以上都不是"
大剂量应用异烟肼可出视神经炎，则应注意及时补充哪种药物预防不良反应,"A 维生素A
B 维生素K
C 维生素pp
D 维生素B6
E 维生素C"
目前用于临床的第一线抗结核病药，不包括,"A 异烟肼
B 利福平
C 乙胺丁醇
D 链霉素
E 对氨基水杨酸"
下列不属于氟尿嘧啶治疗的疾病是,"A 食管癌
B 胃癌
C 肺癌
D 胰腺癌
E 肝癌"
抗肿瘤药的分类不包括,"A 干扰核酸合成
B 干扰蛋白质合成
C 影响激素平衡而抑制肿瘤
D 破坏DNA结构与功能
E 抗生素类"
影响核酸生物合成的抗肿瘤药物又称,"A 抗代谢药
B 抗炎药
C 利尿剂
D 抗生素
E 镇痛药"
与相应的激素失调有关的肿瘤包括,"A 乳腺癌
B 睾丸肿瘤
C 前列腺癌
D 宫颈癌
E 以上均包括"
目前治疗恶性肿瘤的综合治疗中仍占有极为重要的地位的是哪种方法,"A 化疗
B 健康保健
C 中医治疗
D 营养维持
E 死亡"
与骨组织亲和力大的药物是,"A 四环素
B 甲硝唑
C 螺旋霉素
D 罗红霉素
E 环孢素"
可抑制胎儿、婴幼儿骨骼发育的是,"A 氯霉素
B 青霉素
C 四环素
D 米诺环素
E 多西环素"
能引起骨髓抑制的药物是,"A 氯霉素
B 多西环素
C 土霉素
D 四环素
E 米诺霉素"
抗菌活性强，可产生前庭反应的药物是,"A 氯霉素
B 多西环素
C 土霉素
D 四环素
E 米诺霉素"
可产生独特的前庭反应的药物是,"A 氯霉素
B 青霉素
C 四环素
D 米诺环素
E 多西环素"
以下哪一项不属于四环素的不良反应,"A 骨髓抑制
B 二重感染
C 呕吐、腹泻
D 影响骨和牙齿的生长
E 加重原有的肾损伤"
立克次体感染宜选,"A 链霉素
B 四环素
C 磺胺嘧啶
D 阿齐霉素
E 多粘菌素"
男，70岁，高热，畏寒，剧烈头痛入院，用青霉素无效，发病第5天，除面部外于胸肩等处出现鲜红色斑丘疹，于内衣见有瘙虮，发病10天，外斐试验效价：1：400，诊断为斑疹伤寒宜选用,"A 庆大霉素
B 磺胺嘧啶
C 头孢他定
D 链霉素
E 多西环素"
四环素类药物的首选药是,"A 多西环素
B 米诺环素
C 红霉素
D 林可霉素
E 青霉素"
对螺旋体作用最强的药物是,"A 硝苯吡啶
B 替硝唑
C 二甲胺四环素
D 青霉素
E 罗红霉素"
普鲁卡因不适用于,"A 阻滞麻醉
B 冷冻麻醉
C 表面麻醉
D 雾化吸入
E 浸润麻醉"
普鲁卡因不宜用于哪种麻醉,"A 表面麻醉
B 浸润麻醉
C 传导麻醉
D 硬膜外麻醉
E 蛛网膜下腔麻醉"
局麻作用起效快、作用强维持时间长且安全范围大的药物是,"A 普鲁卡因
B 利多卡因
C 丁卡因
D 布比卡因
E 依替卡因"
以适当的浓度应用于局部神经末梢周围，能暂时、完全和可逆性地阻断神经冲动的产生和传导，在意识清醒的条件下可使局部痛觉等感觉暂时消失的药物称为,"A 局部麻醉剂
B 局部封闭剂
C β受体阻滞剂
D β受体激动剂
E 强心剂"
下列有关局麻药的作用机制，说法不正确的是,"A 提高产生神经冲动所需的阈电位
B 延长动作电位的不应期
C 抑制动作电位去极化上升的速度
D 提高神经细胞传导性
E 使神经细胞丧失兴奋性"
毒性最大的局麻药是,"A 普鲁卡因
B 利多卡因
C 丁卡因
D 布比卡因
E 依替卡因"
局麻药对混合神经产生作用时，首先消失的是,"A 持续性钝痛
B 短暂性锐痛
C 冷觉、温觉
D 触觉、压觉
E 运动麻痹"
前壁心肌梗死并发短阵室速,"A 地尔硫䓬（硫氮革酮）
B 洋地黄
C 阿托品
D 利多卡因
E 胺碘酮"
地高辛治疗心房颤动的主要作用是,"A 直接降低心房的兴奋性
B 降低浦肯野纤维的自律性
C 减慢房室传导
D 缩短心房有效不应期
E 抑制窦房结"
对地高辛引起的窦性心动过缓和轻度房室传导阻滞最好选用,"A 阿托品
B 异丙肾上腺素
C 苯妥英钠
D 肾上腺素
E 氯化钾"
治疗地高辛引起的室性早搏（期前收缩）的首选药是,"A 奎尼丁
B 苯妥英钠
C 利多卡因
D 胺碘酮
E 普鲁卡因胺"
地高辛对哪种心衰的疗效最好,"A 肺源性心脏病引起
B 严重二尖瓣狭窄引起的
C 甲状腺机能亢进引起的
D 严重贫血引起的
E 心房纤颤伴心室率快引起的"
下列不属于地高辛药理作用的是,"A 有正性肌力作用
B 对传导组织和心肌电生理特性的影响
C 加快心率作用
D 利尿作用
E 对神经和内分泌系统的作用"
强心苷对下列哪种疾病治疗效果较差,"A 收缩功能障碍引起的
B 对利尿药治疗效欠佳者
C 对ACE抑制药治疗效欠佳者
D 对β受体阻断药疗效欠佳者
E 扩张性心肌病"
下列哪一项是双胍类药物治疗糖尿病的机制,"A 增强胰岛素的作用
B 促进组织摄取葡萄糖
C 阻滞ATP敏感的钾通道
D 刺激内源性胰岛素的分泌
E 增加靶细胞膜上胰岛素受体的数目"
下列何种降血糖药易引起乳酸血症,"A 正规胰岛素
B 阿卡波糖
C 格列本脲
D 甲苯磺丁脲
E 苯乙福明"
不促进胰岛素释放，不加重肥胖的降糖药为,"A 甲福明
B 甲苯磺丁脲
C 格列本脲
D 格列吡嗪
E 氯磺丙脲"
延缓肠道碳水化合物肠道吸收的药物是,"A 罗格列酮
B 吡格列酮
C 二甲双胍
D 格列齐特
E 阿波卡糖"
促胰岛素分泌的的药物是,"A 罗格列酮
B 吡格列酮
C 二甲双胍
D 格列齐特
E 阿波卡糖"
男，53岁，2型糖尿病，控制饮食无效，体重超重，过度肥胖，选下列哪种降糖药为最佳,"A 格列齐特
B 格列苯脲
C 甲苯磺丁脲
D 格列吡嗪
E 甲福明"
主要药理作用是通过抑制肝葡萄糖输出而降低血糖的是,"A 罗格列酮
B 吡格列酮
C 二甲双胍
D 格列齐特
E 阿波卡糖"
下述不良反应哪项是胰岛素不具有的,"A 过敏反应
B 低血糖症
C 胰岛素抵抗
D 脂肪萎缩
E 肝损伤"
属于难逆性抗胆碱酯酶药的是,"A 碘解磷定
B 有机磷酸酯类
C 乙酰胆碱
D 氨甲酰胆碱
E 毒扁豆碱"
以下不属于有机磷酸酯类农药中毒的M样症状的是,"A 腹痛
B 瞳孔扩大
C 瞳孔缩小
D 呼吸困难
E 唾液分泌增多"
属于胆碱酯酶复活药的是,"A 碘解磷定
B 有机磷酸酯类
C 乙酰胆碱
D 氨甲酰胆碱
E 毒扁豆碱"
治疗重症肌无力首选,"A 毛果芸香碱
B 乙酰胆碱
C 毒扁豆碱
D 新斯的明
E 肾上腺素"
解磷定应用于有机磷农药中毒后，抑制作用最为明显的是,"A 流涎
B 肌颤
C 瞳孔缩小
D 呼吸困难
E 大便失禁"
新斯的明的药理作用是,"A 激活胆碱酯酶
B 激动M受体
C 抑制胆碱酯酶
D 阻断M受体
E 激动N受体"
新斯的明最强的作用是,"A 兴奋胃肠道平滑肌
B 兴奋膀胱平滑肌
C 缩小瞳孔
D 兴奋骨骼肌
E 增加腺体分泌"
下列哪个药物属于胆碱酯酶复活药,"A 新斯的明
B 碘解磷定
C 毒扁豆碱
D 安贝氯铵
E 阿托品"
有机磷酸酯类中毒症状中，不属于M样症状的是,"A 瞳孔缩小
B 流涎流泪
C 腹痛腹泻
D 小便失禁
E 肌肉震颤"
新斯的明属于,"A M受体激动药
B N2受体激动药
C N1受体激动药
D 胆碱酯酶复活剂
E 胆碱酯酶抑制剂"
有机磷农药中毒的机制是,"A 失活磷酸二酯酶
B 失活单胺氧化酶
C 失活胆碱酯酶
D 失活腺苷酸环化酶
E 直接激动胆碱受体"
下列有关阿托品的描述中，正确的是,"A 对胆管解痉作用较强
B 能抑制胃肠道平滑肌痉挛
C 对多种内脏平滑肌有收缩作用
D 增加蠕动的幅度和频率
E 以上说法均正确"
阿托品抗休克的主要机制是,"A 加快心率，增加输出量
B 扩张支气管，改善缺氧状态
C 扩张血管，改善微循环
D 兴奋中枢，改善呼吸
E 收缩血管，升高血压"
阿托品的最低致死量,"A 成人为60～110mg、儿童约为8mg
B 成人为70～120mg、儿童约为9mg
C 成人为80～130mg、儿童约为10mg
D 成人为90～140mg、儿童约为15mg
E 成人为100～150mg、儿童约为18mg"
阿托品不良反应不包括,"A 口干
B 缩瞳
C 视力模糊
D 心率加快
E 皮肤潮红"
阿托品用于治疗,"A 心源性休克
B 过敏性休克
C 失血性休克
D 感染中毒性休克
E 神经源性休克"
阿托品明显中枢中毒剂量为,"A 5mg以上
B 10mg以上
C 15mg以上
D 20mg以上
E 30mg以上"
阿托品的临床应用,"A 眼压降低
B 促进腺体分泌
C 解除平滑肌痉挛
D 心脏骤停
E 过敏性休克"
阿托品不能引起,"A 心率加快
B 眼内压下降
C 口干
D 视力模糊
E 扩瞳"
阿托品引起小便困难、言语不清的剂量,"A 0.5mg
B 1mg
C 2mg
D 5mg
E 10mg"
阿托品引起口干，心率加快，瞳孔轻度扩大的剂量,"A 0.5mg
B 1mg
C 2mg
D 5mg
E 10mg"
阿托品引起心悸、瞳孔扩大、视近物模糊的剂量,"A 0.5mg
B 1mg
C 2mg
D 5mg
E 10mg"
阿托品不良反应为,"A 瞳孔轻度扩大
B 肠蠕动增加、烦躁不安
C 调节痉挛、心率加快
D 肠蠕动减少、唾液分泌增加
E 中枢抑制、心率减慢"
下列不属于阿托品临床应用的是,"A 解除平滑肌痉挛
B 抑制腺体分泌
C 治疗青光眼
D 抗休克
E 解救有机磷酸酯类中毒"
阿托品用于虹膜睫状体炎溶液为,"A 0%～0.5%
B 0.5%～1%
C 1%～1.5%
D 1.5%～2%
E 2%～2.5%"
阿托品临床可用于,"A 抗休克
B 抑制腺体分泌
C 解除平滑肌痉挛
D 解救有机磷酸酯类中毒
E 以上说法均正确"
阿托品对哪种平滑肌的松弛作用最强,"A 胃肠道
B 胆管
C 支气管
D 输尿管
E 幽门括约肌"
对异丙嗪，哪一项是错误的,"A 是H₁受体阻断药
B 有明显的中枢抑制作用
C 能抑制胃酸分泌
D 有抗过敏作用
E 有止吐作用"
